arm,sigma_a,object,rho,rel_mse_aligned,rel_mse_raw,n
hadamard_paired+pairwise,0.3,0,3.0,0.9147404404974167,9.77068678401533,5
hadamard_paired+pairwise,0.3,0,10.0,0.9181971869530742,10.255914977523801,5
hadamard_paired+pairwise,0.3,1,0.001,0.01158474926750987,0.01208037971441078,5
hadamard_paired+pairwise,0.3,1,0.003,0.0339949371455772,0.034902531378089505,5
hadamard_paired+pairwise,0.3,1,0.01,0.10494461558994439,0.1098935845646593,5
hadamard_paired+pairwise,0.3,1,0.03,0.2595279552277643,0.3204734028404912,5
hadamard_paired+pairwise,0.3,1,0.1,0.5322831129745149,1.0376821618112457,5
hadamard_paired+pairwise,0.3,1,0.3,0.758958922099464,2.8021938163971267,5
hadamard_paired+pairwise,0.3,1,1.0,0.8872451945761703,6.631056212084646,5
hadamard_paired+pairwise,0.3,1,3.0,0.9220684668738912,9.72177747576617,5
hadamard_paired+pairwise,0.3,1,10.0,0.9255129897613819,10.191605946252325,5
hadamard_paired+pairwise,0.3,2,0.001,0.013267460202556976,0.013649475941597832,5
hadamard_paired+pairwise,0.3,2,0.003,0.03872204713601649,0.0395237464822352,5
hadamard_paired+pairwise,0.3,2,0.01,0.1178948605099391,0.12553717000618667,5
hadamard_paired+pairwise,0.3,2,0.03,0.2843780747894936,0.36803205471299005,5
hadamard_paired+pairwise,0.3,2,0.1,0.5630889808879529,1.193513665177127,5
hadamard_paired+pairwise,0.3,2,0.3,0.7819416414232145,3.2246470945997054,5
hadamard_paired+pairwise,0.3,2,1.0,0.8992474994514513,7.61047874514566,5
hadamard_paired+pairwise,0.3,2,3.0,0.930148578343146,11.181726550868802,5
hadamard_paired+pairwise,0.3,2,10.0,0.9332107776383067,11.725561586766526,5
hadamard_paired+pairwise,0.3,3,0.001,0.012785073496631405,0.013166018516001552,5
hadamard_paired+pairwise,0.3,3,0.003,0.03742929813225861,0.03802573170085695,5
hadamard_paired+pairwise,0.3,3,0.01,0.11479162340864273,0.12085116778355995,5
hadamard_paired+pairwise,0.3,3,0.03,0.28035009245464587,0.354437591871991,5
hadamard_paired+pairwise,0.3,3,0.1,0.5616649349834215,1.1478468518143923,5
hadamard_paired+pairwise,0.3,3,0.3,0.7797700865593372,3.0976538346040337,5
hadamard_paired+pairwise,0.3,3,1.0,0.8977482739343712,7.324517016886837,5
hadamard_paired+pairwise,0.3,3,3.0,0.9294134870233449,10.736203640498683,5
hadamard_paired+pairwise,0.3,3,10.0,0.9325202069383816,11.255403981857812,5
hadamard_paired+pairwise,0.3,4,0.001,0.010605324630972806,0.011080691391993018,5
hadamard_paired+pairwise,0.3,4,0.003,0.031110102574846553,0.031977149726372736,5
hadamard_paired+pairwise,0.3,4,0.01,0.09624389246494174,0.10055426637044167,5
hadamard_paired+pairwise,0.3,4,0.03,0.2403952681012683,0.29386673051039924,5
hadamard_paired+pairwise,0.3,4,0.1,0.506454993812237,0.9522892457319955,5
hadamard_paired+pairwise,0.3,4,0.3,0.7400149348506286,2.5671291916982146,5
hadamard_paired+pairwise,0.3,4,1.0,0.8759961936736594,6.0727614659157005,5
hadamard_paired+pairwise,0.3,4,3.0,0.9144387624577208,8.916018761471044,5
hadamard_paired+pairwise,0.3,4,10.0,0.9184295119385151,9.360123873281285,5
hadamard_paired+pairwise,0.3,5,0.001,0.014929153879652008,0.015266828732789308,5
hadamard_paired+pairwise,0.3,5,0.003,0.0434388425936449,0.0442903189904084,5
hadamard_paired+pairwise,0.3,5,0.01,0.13099452244108484,0.14133917499468254,5
hadamard_paired+pairwise,0.3,5,0.03,0.3096246661344725,0.41443970643075545,5
hadamard_paired+pairwise,0.3,5,0.1,0.5926309547884442,1.3458182526182578,5
