sigma_a,rho,seed,object,rel_mse_raw
0.1,0.01,1,4,0.5442037760683562
0.1,0.01,1,5,0.4934511899955965
0.1,0.01,1,6,0.48462122817469555
0.1,0.01,1,7,0.5267528855763413
0.1,0.01,1,8,0.5043874261145882
0.1,0.01,1,9,0.5066149637588033
0.1,0.01,2,0,0.49230201938478035
0.1,0.01,2,1,0.4980248695034693
0.1,0.01,2,2,0.47856934868031786
0.1,0.01,2,3,0.5095086730532121
0.1,0.01,2,4,0.544203834869294
0.1,0.01,2,5,0.49345121381139573
0.1,0.01,2,6,0.484621266485393
0.1,0.01,2,7,0.5267529067632869
0.1,0.01,2,8,0.5043874244921112
0.1,0.01,2,9,0.5066149566726355
0.1,0.01,3,0,0.49230199079637865
0.1,0.01,3,1,0.49802485002134944
0.1,0.01,3,2,0.478569311152007
0.1,0.01,3,3,0.5095086464312357
0.1,0.01,3,4,0.5442038102984947
0.1,0.01,3,5,0.4934512137744705
0.1,0.01,3,6,0.4846212091776587
0.1,0.01,3,7,0.5267528682118852
0.1,0.01,3,8,0.5043874781480931
0.1,0.01,3,9,0.5066149393274261
0.1,0.01,4,0,0.49230203118940885
0.1,0.01,4,1,0.49802492148464667
0.1,0.01,4,2,0.47856937600735394
0.1,0.01,4,3,0.5095086052147806
0.1,0.01,4,4,0.5442037964106722
0.1,0.01,4,5,0.49345122157408483
0.1,0.01,4,6,0.48462123852481453
0.1,0.01,4,7,0.5267529087096106
0.1,0.01,4,8,0.5043874429588501
0.1,0.01,4,9,0.5066149502925837
0.1,0.03,0,0,0.4923020038117212
0.1,0.03,0,1,0.49802487868527234
0.1,0.03,0,2,0.47856933199860446
0.1,0.03,0,3,0.5095086377926757
0.1,0.03,0,4,0.5442037616064402
0.1,0.03,0,5,0.49345120533594383
0.1,0.03,0,6,0.4846212242938359
0.1,0.03,0,7,0.526752886601764
0.1,0.03,0,8,0.5043874740923213
0.1,0.03,0,9,0.506614891014263
0.1,0.03,1,0,0.49230200495904086
0.1,0.03,1,1,0.4980248449688732
0.1,0.03,1,2,0.47856934978917826
0.1,0.03,1,3,0.5095086384991778
0.1,0.03,1,4,0.5442038133010885
0.1,0.03,1,5,0.49345117612939704
0.1,0.03,1,6,0.4846212278867087
0.1,0.03,1,7,0.5267528975654691
0.1,0.03,1,8,0.5043874705266826
0.1,0.03,1,9,0.5066149380478935
0.1,0.03,2,0,0.49230196246591607
0.1,0.03,2,1,0.49802490008539024
0.1,0.03,2,2,0.47856935169037357
0.1,0.03,2,3,0.5095086559809507
0.1,0.03,2,4,0.5442038318858954
0.1,0.03,2,5,0.49345121655602225
0.1,0.03,2,6,0.48462123852961075
0.1,0.03,2,7,0.5267529407598234
0.1,0.03,2,8,0.5043874452517125
0.1,0.03,2,9,0.5066149569062122
0.1,0.03,3,0,0.4923019820762461
0.1,0.03,3,1,0.4980248774978621
0.1,0.03,3,2,0.47856931436422734
0.1,0.03,3,3,0.5095086534205631
0.1,0.03,3,4,0.5442037849639217
0.1,0.03,3,5,0.493451232012907
0.1,0.03,3,6,0.48462122226032023
0.1,0.03,3,7,0.5267528910589313
0.1,0.03,3,8,0.5043875014420843
0.1,0.03,3,9,0.5066149275363873
0.1,0.03,4,0,0.4923019972252101
0.1,0.03,4,1,0.4980248938134349
0.1,0.03,4,2,0.47856935764419317
0.1,0.03,4,3,0.5095086526497483
0.1,0.03,4,4,0.5442038370395054
0.1,0.03,4,5,0.493451214533501
0.1,0.03,4,6,0.4846212138666453
0.1,0.03,4,7,0.5267529069954497
0.1,0.03,4,8,0.5043874836516811
0.1,0.03,4,9,0.5066149518399468
0.1,0.1,0,0,0.4923020293916652
